,Date,Time (hrs),Sun Az°,Sun Altitude°,Sun Distance AU,Air Mass,Ext. Factor,Sun-panels angle°,Solar constant W/m²,Ext. Radiation W/m²,DNI (clear sky) W/m²,Direct Insolation W/m²
3230,2021-08-04,10,-101.48156602510531,54.62626196564168,1.0145786610573198,1.2254634350165752,1.4430612771167104,45.36673413051508,1361.5,1322.653842514117,916.5611076175699,643.9449792833636
3231,2021-08-04,11,-104.13795807039342,68.89758624149631,1.0145729021546146,1.071632720008662,1.3997431847013169,34.78659470400486,1361.5,1322.668857810491,944.9368085994488,776.0602672384215
3232,2021-08-04,12,-124.73205648458719,82.51103765539878,1.014567135946828,1.0085761142976992,1.3819782584218818,28.30510393648617,1361.5,1322.6838924097203,957.0945739190779,842.6596741282174
3233,2021-08-04,13,117.8342430602552,80.74396551077943,1.0145613624368015,1.0131500614387752,1.3832671033763515,28.839011436516877,1361.5,1322.698946305376,956.2136937088018,837.6226002411827
3234,2021-08-04,14,103.31780331198655,66.89145424613722,1.0145555816271872,1.0869281886994422,1.4040514502897223,36.07842842312755,1361.5,1322.7140194915235,942.0694798745337,761.3915345226794
3235,2021-08-04,15,101.30999944646344,52.5988558674374,1.01454979352064,1.257696521565299,1.4521359565804726,47.01880385599814,1361.5,1322.7291119622219,910.8851729537905,621.0035278760026
3236,2021-08-04,16,101.70583834361834,38.276925633870924,1.0145439981200122,1.6105830130757979,1.551524987718274,59.65134765810662,1361.5,1322.744223711017,852.5445830274962,430.75717782864143
3237,2021-08-04,17,103.16955523163823,24.01365728518376,1.0145381954279669,2.440782423947904,1.7870634463854544,73.09221688648465,1361.5,1322.7593547319475,740.1860059346989,215.2698988962948
3238,2021-08-04,18,105.44262877821814,9.89818600372779,1.0145323854471684,5.592897973988483,2.7532588542830716,86.92837358817658,1361.5,1322.7745050190508,480.4395718046248,25.744027035042294
3239,2021-08-04,19,108.60746927479687,-4.036443506240554,1.0145265681804814,inf,inf,90.0,1361.5,1322.789674565843,0.0,0.0
3240,2021-08-05,5,-112.17334419131674,-16.01048002193105,1.0144679953899163,inf,inf,90.0,1361.5,1322.9424279689188,0.0,0.0
3241,2021-08-05,6,-107.9682952559567,-1.495770533889599,1.014462098159112,inf,inf,90.0,1361.5,1322.9578089664524,0.0,0.0
3242,2021-08-05,7,-104.91833627420185,11.878222254376581,1.0144561936755006,4.72526619521493,2.4721587497892266,84.9025354675224,1361.5,1322.9732091492945,535.1489702115973,47.548103583482465
3243,2021-08-05,8,-102.72080584479755,26.031632894320673,1.0144502819417953,2.265714227185233,1.7370577610661253,71.08335736641605,1361.5,1322.988628511366,761.6261578425447,246.91326940929605
3244,2021-08-05,9,-101.3185195098966,40.31732508341517,1.0144443629607138,1.5424410601436938,1.5323200569124193,57.69848931296226,1361.5,1323.0040670465764,863.3993016526791,461.37868734364093
3245,2021-08-05,10,-101.0177378227428,54.6567070201865,1.0144384367351742,1.2250035034699385,1.4429317887460573,45.19413168462253,1361.5,1323.019524748313,916.8967896244416,646.1434772859797
3246,2021-08-05,11,-103.4057676247994,68.95908372739756,1.0144325032679011,1.0711912021942063,1.399618817757453,34.56290729297114,1361.5,1323.0350016104683,945.282376047436,778.4436403760329
3247,2021-08-05,12,-123.0613498930725,82.67476685402325,1.0144265625616216,1.0082027047669493,1.3818730375390826,28.037520668811574,1361.5,1323.0504976269303,957.4327464866767,845.0684065986161
3248,2021-08-05,13,116.24258180541382,80.8356265660329,1.0144206146192651,1.012888135273396,1.3831932989610456,28.58942281638678,1361.5,1323.066012791058,956.5300914809587,839.9016497851044
3249,2021-08-05,14,102.62768511782879,66.89970230854924,1.0144146594435663,1.0868616785378655,1.4040327171063733,35.89385745843718,1361.5,1323.0815470967214,942.343815052624,763.3969645076696
3250,2021-08-05,15,100.86498892479347,52.57842341136265,1.0144086970372626,1.2580380434002798,1.4522321048919153,46.89191106947908,1361.5,1323.0971005377826,911.0782608929144,622.6097920913693
3251,2021-08-05,16,101.36403398623007,38.237191592755806,1.0144027274032947,1.6119901015508449,1.5519216649828245,59.56573051470924,1361.5,1323.1126731075742,852.56408423309,431.8659585360514
3252,2021-08-05,17,102.87893999245686,23.956961055842303,1.0143967505444071,2.4461342761573825,1.788595861988651,73.03667297836928,1361.5,1323.1282647999426,739.7580934403046,215.83148728069278
3253,2021-08-05,18,105.17727685021691,9.824727039427843,1.0143907664633478,5.631160363699899,2.7659530226722016,86.89592483218325,1361.5,1323.143875608724,478.36816632931385,25.90355673276868
3254,2021-08-05,19,108.3513122285279,-4.15007751728956,1.0143847751630684,inf,inf,90.0,1361.5,1323.1595055272255,0.0,0.0
3255,2021-08-06,5,-111.89682594414185,-16.0765827788177,1.0143244657217843,inf,inf,90.0,1361.5,1323.3168543550205,0.0,0.0
3256,2021-08-06,6,-107.69725929000771,-1.5441942334323129,1.0143183951962782,inf,inf,90.0,1361.5,1323.3326940613567,0.0,0.0
3257,2021-08-06,7,-104.63904966552637,11.855264543156421,1.0143123174856428,4.73379262084461,2.4748593043774454,84.81833790007293,1361.5,1323.3485528006158,534.7166808472396,48.29231464881624
3258,2021-08-06,8,-102.41539831375269,26.02601602094377,1.0143062325926744,2.2661631047717115,1.7371856882445302,70.97599316688284,1361.5,1323.364430566518,761.7863994169852,248.315167788249
3259,2021-08-06,9,-100.95854925825168,40.3288835422287,1.0143001405201717,1.5420768842872008,1.5322174439418508,57.56161780564556,1361.5,1323.38032735278,863.7026895792237,463.28346036887194
3260,2021-08-06,10,-100.5454369203639,54.68791108194681,1.0142940412711408,1.2245328203161312,1.4427992732978634,45.01767967217846,1361.5,1323.396243152576,917.2421054299791,648.3879480103385
3261,2021-08-06,11,-102.6578439634114,69.02043303925826,1.014287934848389,1.0707523344022196,1.399495196994753,34.334735641467965,1361.5,1323.4121779596007,945.6353839594938,780.8645689990417
3262,2021-08-06,12,-121.29433927428553,82.83644295108401,1.0142818212547242,1.007842295505737,1.381771479681452,27.764998209638808,1361.5,1323.4281317675493,957.7764132696146,847.5035194504958
3263,2021-08-06,13,114.58776499192686,80.91965557222956,1.014275700493165,1.0126504059759402,1.3831263125258435,28.33663819714489,1361.5,1323.4441045695646,956.8497776263918,842.1943099591157
3264,2021-08-06,14,101.92505100078715,66.90296326702874,1.0142695725665263,1.0868353914764377,1.404025313118197,35.70855201554962,1361.5,1323.4600963593252,942.6184015301372,765.4027655843304
3265,2021-08-06,15,100.4129442849852,52.55388279375487,1.0142634374776283,1.2584486873160574,1.452347713049472,46.7655857095991,1361.5,1323.4761071304936,911.2666995919395,624.2038672071632
3266,2021-08-06,16,101.01705947788287,38.193726573708354,1.0142572952294995,1.6135330078678092,1.5523566365259658,59.48126466097445,1361.5,1323.4921368761907,852.5696387899927,432.9519845880493
3267,2021-08-06,17,102.58400727077229,23.89672218361362,1.014251145824966,2.451848726939713,1.790232358988326,72.9825489766302,1361.5,1323.5081855900673,739.2940804276334,216.36399416239593
3268,2021-08-06,18,104.90800385825798,9.74784122767369,1.014244989266857,5.671760957005567,2.779450805859164,86.86498784396169,1361.5,1323.5242532657644,476.18193150810094,26.04190700629956
